№;Месяц;Группировка;Гос. номер;Пробег в поездках;Моточасы;Моточасы в движении;Моточасы без движения;Заправлено;Потрачено по ДУТ всего;Потрачено по ДУТ в движении;Ср. расход по ДУТ всего;Потрачено по ДУТ на холостом ходу;Ср. расход по ДУТ на холостом ходу;Ср. расход по ДУТ в движении;Ср. скорость;Макс. скорость;;
1.25;Март 2025;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;10 159;228;176,1;47,3;4019,8;3 749;3 751;36,8;164;3,5;36,9;61;215;;
1.1;Апрель 2025;DAF К639ХВ777 ООО КР ГРУПП;к639хв777;6 373;125;102,0;9,7;2341,2;2 043;1 931;32,0;;0,0;30,3;64;183;;
1.2;Апрель 2025;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;9 236;261;210,6;19,8;4127,2;3 804;2 999;40,9;13;0,7;32,5;55;450;;
1.3;Апрель 2025;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;11 613;239;197,3;33,7;3509,1;3 443;3 262;29,5;85;2,5;28,1;60;280;;
1.4;Апрель 2025;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;4 655;259;121,3;20,6;2017,9;2 163;1 756;46,4;80;3,9;37,7;39;143;;
1.5;Апрель 2025;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;13 325;265;220,9;39,8;3804,0;3 490;3 689;26,1;127;3,2;27,7;62;420;;
1.6;Апрель 2025;FAW О645КА977 ООО КР ГРУПП;О645КА977;11 472;218;175,5;42,7;3038,7;3 312;3 129;28,9;183;4,3;27,3;16;110;;
1.7;Апрель 2025;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);5 039;145;122,5;22,7;1779,5;1 805;1 697;35,7;109;4,8;33,7;38;185;;
1.8;Апрель 2025;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;12 366;243;207,9;29,2;4167,8;4 018;3 848;31,0;54;1,9;31,1;60;237;;
1.9;Апрель 2025;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;4 040;92;66,4;17,5;1196,7;1 407;1 331;34,7;6;0,4;32,9;62;185;;
1.10;Апрель 2025;MAN М065МН777 ООО КР ГРУПП;М065МН777;2 649;107;73,9;26,1;811,1;929;845;34,8;25;1,0;31,9;41;156;;
1.11;Апрель 2025;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;2 605;163;94,7;36,4;1282,6;1 309;857;48,8;42;1,2;32,9;39;139;;
1.12;Апрель 2025;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;8 878;170;146,3;17,9;2520,5;2 668;2 568;30,0;;0,0;28,9;61;174;;
1.13;Апрель 2025;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;8 149;252;195,4;51,9;2482,5;2 540;2 884;31,0;62;1,2;35,4;43;452;;
1.14;Апрель 2025;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;13 602;275;238,5;31,4;4168,8;4 287;4 193;31,4;43;1,4;30,8;58;211;;
1.15;Апрель 2025;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;11 286;234;180,8;41,3;3750,3;3 792;3 578;33,5;340;8,2;31,7;62;159;;
1.16;Апрель 2025;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;5 481;142;123,5;15,9;1791,7;1 848;1 827;33,6;40;2,5;33,3;44;196;;
1.17;Апрель 2025;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;11 566;260;222,1;31,3;3744,8;4 014;3 796;34,6;108;3,5;32,8;52;150;;
1.18;Апрель 2025;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;10 351;218;184,7;21,4;3550,1;3 560;3 081;34,2;165;7,7;29,8;56;224;;
1.19;Апрель 2025;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;13 237;269;226,6;38,1;3734,8;3 755;3 530;28,2;205;5,4;26,7;60;196;;
1.20;Апрель 2025;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;11 582;227;187,4;35,0;3548,9;3 822;3 614;32,9;225;6,4;31,2;62;252;;
1.21;Апрель 2025;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;12 156;238;210,3;21,6;4355,4;3 993;3 931;32,8;56;2,6;32,3;59;350;;
1.22;Апрель 2025;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;9 660;238;169,6;56,9;3045,6;3 089;2 904;31,9;241;4,2;30,1;57;287;;
1.23;Апрель 2025;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;6 316;261;149,7;83,9;2291,4;2 471;2 091;39,0;189;2,3;33,1;48;165;;
1.24;Апрель 2025;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;9 695;268;164,8;84,1;3445,3;3 546;3 409;36,4;328;3,9;35,2;59;178;;
1.25;Апрель 2025;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;9 184;220;167,8;44,3;2708,6;2 859;3 009;30,9;102;2,3;32,8;56;269;;
1.1;Май 2025;DAF К639ХВ777 ООО КР ГРУПП;к639хв777;6 856;100;85,2;12,4;1568,0;1 509;1 473;27,2;20;1,7;27,9;65;146;;
1.2;Май 2025;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;12 985;217;190,2;12,4;3468,6;3 415;2 890;24,2;30;2,4;28,9;63;148;;
1.3;Май 2025;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;13 093;221;188,5;27,7;3147,4;3 186;2 896;25,0;94;3,4;26,7;61;215;;
1.4;Май 2025;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;10 051;197;152,8;44,2;3286,6;3 249;3 188;33,0;269;6,1;36,1;56;274;;
1.5;Май 2025;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;7 356;116;100,5;12,9;1550,9;1 754;1 651;24,8;47;3,6;27,8;63;239;;
1.6;Май 2025;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);3 628;97;83,5;13,7;1256,4;1 204;1 129;27,3;80;5,8;29,4;43;148;;
1.7;Май 2025;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;9 383;199;154,9;33,1;2200,9;2 461;2 550;25,5;56;1,7;28,4;62;274;;
1.8;Май 2025;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;4 513;67;43,7;15,4;1193,0;888;780;26,6;4;0,3;31,0;64;113;;
1.9;Май 2025;MAN М065МН777 ООО КР ГРУПП;М065МН777;;;;;;;;;;#ДЕЛ/0!;;;;;
1.6;Май 2025;FAW О645КА977 ООО КР ГРУПП;О645КА977;10 731;202;181,9;19,9;2904,9;2 969;2 785;27,7;184;9,2;26,0;14;110;;
1.10;Май 2025;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;7 086;197;154,3;38,0;1805,6;1 762;2 079;25,6;37;1,0;35,4;41;183;;
1.11;Май 2025;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;15 298;247;225,0;21,0;3680,3;3 750;3 678;27,6;31;1,5;28,8;58;317;;
1.12;Май 2025;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;11 121;198;157,5;29,7;3343,2;3 305;2 983;27,1;257;8,7;30,5;63;224;;
1.13;Май 2025;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;2 234;86;70,1;12,8;924,3;958;872;22,5;96;7,5;41,5;29;149;;
1.14;Май 2025;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;9 186;350;322,5;11,2;2712,0;2 533;2 377;28,2;61;5,5;30,4;61;294;;
1.15;Май 2025;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;8 531;162;144,5;12,2;2771,4;2 771;2 243;28,1;137;11,2;29,1;60;148;;
1.16;Май 2025;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;14 584;271;215,9;46,1;3675,2;3 749;3 440;24,2;240;5,2;27,2;61;330;;
1.17;Май 2025;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;14 003;266;209,0;29,1;3984,7;3 708;3 305;22,1;85;2,9;29,1;65;317;;
1.18;Май 2025;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;6 547;177;111,2;56,6;2724,4;2 482;2 346;29,8;216;3,8;35,1;65;200;;
2.1;Июнь 2025;DAF К639ХВ777 ООО КР ГРУПП;к639хв777;10 316;124;114,7;8,1;2315,7;2 020;2 002;22,1;19;2,3;28,1;65;180;;
2.2;Июнь 2025;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;14 262;221;194,9;18,5;3426,7;3 477;3 215;24,4;41;2,2;27,2;68;202;;
2.3;Июнь 2025;FAW О645КА977 ООО КР ГРУПП;О645КА977;8 731;162;144,2;17,3;2489,1;2 271;2 209;26,0;62;3,6;25,3;12;110;;
2.4;Июнь 2025;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);5 739;132;118,4;14,1;1808,7;1 859;1 779;25,9;72;5,1;30,1;48;139;;
2.5;Июнь 2025;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;14 148;269;171,6;24,6;3102,7;3 035;2 960;21,5;39;1,6;28,9;63;120;;
2.6;Июнь 2025;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;10 565;206;161,0;31,1;3118,9;2 919;2 666;27,6;22;0,7;29,0;62;257;;
2.7;Июнь 2025;MAN М065МН777 ООО КР ГРУПП;М065МН777;8 493;135;118,4;13,9;1984,8;1 942;2 042;22,9;49;3,6;30,4;59;341;;
2.8;Июнь 2025;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;2 222;74;45,5;18,9;381,2;550;391;24,7;23;1,2;31,7;30;139;;
2.9;Июнь 2025;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;5 461;102;86,6;12,5;1997,1;1 580;1 570;28,9;25;2,0;29,9;65;148;;
2.10;Июнь 2025;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;7 889;174;142,0;28,6;1844,3;1 930;1 873;24,5;31;1,1;32,3;44;130;;
2.11;Июнь 2025;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;13 849;212;187,2;23,0;2942,7;2 822;2 762;20,4;30;1,3;28,0;55;148;;
2.12;Июнь 2025;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;9 945;202;160,4;32,3;2877,2;3 053;2 753;30,7;255;7,9;29,8;61;233;;
2.13;Июнь 2025;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;3 840;128;106,7;21,0;1267,3;1 421;1 408;37,0;111;5,3;35,5;37;129;;
2.14;Июнь 2025;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;18 378;212;188,7;15,6;3233,6;3 177;2 969;19,0;75;4,8;29,6;55;444;;
2.15;Июнь 2025;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;12 397;197;172,6;13,1;3177,0;3 289;2 847;26,5;150;11,4;28,5;60;148;;
2.16;Июнь 2025;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;13 925;208;173,0;25,1;2965,2;3 054;2 856;24,2;118;4,7;27,4;62;144;;
2.17;Июнь 2025;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;17 877;242;213,4;26,3;4352,2;4 339;4 172;24,3;166;6,3;29,4;68;148;;
2.18;Июнь 2025;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;8 497;122;112,2;8,7;2016,1;2 114;2 098;28,4;29;3,3;31,4;61;137;;
2.19;Июнь 2025;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;11 601;217;178,3;34,5;3034,7;3 009;2 840;25,9;267;7,7;27,5;58;443;;
2.20;Июнь 2025;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;8 344;159;133,6;17,1;2154,6;2 130;1 874;25,1;72;4,2;33,4;48;143;;
2.21;Июнь 2025;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;3 167;67;47,3;15,6;764,3;961;948;25,0;54;3,5;28,4;69;146;;
2.22;Июнь 2025;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;12 959;185;164,1;15,4;3392,5;3 356;3 434;26,1;33;2,2;35,1;63;204;;
1.1;Июль 2025;DAF К639ХВ777 ООО КР ГРУПП;к639хв777;9 425;159;141,9;15,5;2310,4;2 519;2 506;26,7;17;1,1;26,6;69;148;;
1.2;Июль 2025;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;12 336;272;223,2;42,8;4122,8;4 014;3 368;32,5;103;2,4;27,3;67;148;;
1.3;Июль 2025;FAW О645КА977 ООО КР ГРУПП;О645КА977;13 868;290;247,9;42,0;3860,4;3 807;3 610;27,5;197;4,7;26,0;18;125;;
1.4;Июль 2025;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);3 508;92;76,7;14,3;1292,7;1 142;1 046;32,6;84;5,9;29,8;44;145;;
1.5;Июль 2025;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;11 229;264;205,3;43,8;3350,0;3 393;3 287;30,2;55;1,3;29,3;60;148;;
1.6;Июль 2025;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;13 218;333;236,7;80,8;3775,3;4 141;3 718;31,3;96;1,2;28,1;61;148;;
1.7;Июль 2025;MAN М065МН777 ООО КР ГРУПП;М065МН777;4 439;96;79,6;10,7;1186,6;1 307;1 344;29,5;41;3,8;30,3;57;146;;
1.8;Июль 2025;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;5 033;243;152,0;57,5;2215,0;1 990;1 506;39,5;111;1,9;29,9;40;139;;
1.9;Июль 2025;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;7 856;174;134,7;32,7;2310,2;2 416;2 273;30,7;69;2,1;28,9;64;146;;
1.10;Июль 2025;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;9 562;201;171,9;24,8;2969,8;2 863;2 826;29,9;61;2,5;29,6;58;148;;
1.11;Июль 2025;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;10 642;244;206,2;27,4;3029,8;3 003;2 901;28,2;39;1,4;27,3;55;148;;
1.12;Июль 2025;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;8 155;153;132,4;15,7;2450,4;2 462;2 315;30,2;169;10,7;28,4;63;148;;
1.13;Июль 2025;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;4 381;147;119,8;25,5;1698,7;1 556;1 520;35,5;113;4,4;34,7;36;149;;
1.14;Июль 2025;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;11 614;260;225,0;24,6;3779,1;3 679;3 293;31,7;130;5,3;28,4;56;148;;
1.15;Июль 2025;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;7 538;199;143,9;35,8;2841,6;2 746;2 168;36,4;207;5,8;28,8;57;148;;
1.16;Июль 2025;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;7 057;170;133,9;25,4;2114,5;2 119;1 875;30,0;166;6,5;26,6;55;148;;
1.17;Июль 2025;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;11 073;230;184,0;40,7;3158,7;3 330;3 082;30,1;266;6,5;27,8;62;148;;
1.18;Июль 2025;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;9 277;201;174,9;18,0;3214,7;2 942;2 838;31,7;59;3,3;30,6;56;148;;
1.19;Июль 2025;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;12 697;275;222,2;48,2;4447,7;4 645;3 936;36,6;392;8,1;31,0;58;146;;
1.20;Июль 2025;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;11 321;233;198,2;24,1;3555,7;3 689;3 346;32,6;86;3,6;29,6;63;148;;
1.21;Июль 2025;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;8 908;214;158,2;47,8;3066,2;2 798;2 737;31,4;214;4,5;30,7;58;148;;
1.22;Июль 2025;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;10 985;264;180,3;73,5;3827,1;3 782;3 792;28,8;179;2,4;34,5;63;146;;
1.1;Август 2025;DAF К639ХВ777 ООО КР ГРУПП;к639хв777;10 529;204;176,1;21,9;3118,7;2 969;2 887;26,1;32;1,5;27,4;64;148;;
1.2;Август 2025;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;11 993;250;219,0;20,7;3948,8;3 947;3 513;28,0;31;1,5;29,3;65;146;;
1.3;Август 2025;FAW О645КА977 ООО КР ГРУПП;О645КА977;14 333;252;225,4;27,0;3706,9;3 752;3 651;26,2;101;3,7;25,5;19;122;;
1.4;Август 2025;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);7 558;180;151,3;28,1;2383,8;2 515;2 370;31,2;131;4,8;31,4;47;146;;
1.5;Август 2025;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;10 715;247;196,1;31,0;3450,5;3 295;2 981;30,8;53;1,9;27,8;62;148;;
1.6;Август 2025;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;8 356;173;150,6;16,8;2800,2;2 616;2 401;28,1;9;0,5;28,7;59;148;;
1.7;Август 2025;MAN М065МН777 ООО КР ГРУПП;М065МН777;12 665;256;219,5;24,2;3917,6;3 674;3 633;26,2;83;3,5;28,7;62;148;;
1.8;Август 2025;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;1 549;76;53,6;18,7;380,5;636;400;41,0;47;2,6;25,8;32;139;;
1.9;Август 2025;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;1 841;154;135,0;14,3;2120,6;2 333;2 303;31,3;24;1,7;50,1;36;143;;
1.10;Август 2025;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;4 710;178;123,5;46,5;1324,8;1 392;1 590;29,5;62;1,4;33,4;42;148;;
1.11;Август 2025;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;6 017;116;102,1;11,5;1412,7;1 545;1 516;25,7;19;1,6;25,2;62;120;;
1.12;Август 2025;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;8 709;164;131,8;24,1;2896,2;2 747;2 542;31,5;209;9,0;29,2;;148;;
1.13;Август 2025;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;11 500;345;291,6;51,4;;;;;;;;42;148;;
1.14;Август 2025;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;11 158;276;214,3;49,3;2928,5;3 127;2 570;25,5;179;3,7;23,0;54;146;;
1.15;Август 2025;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;6 823;136;118,3;12,2;2274,2;2 295;1 927;30,6;136;11,5;28,2;57;124;;
1.16;Август 2025;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;11 420;245;187,9;48,2;3714,2;3 544;3 273;29,1;240;5,1;28,7;64;148;;
1.17;Август 2025;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;12 996;259;208,4;43,6;3798,7;3 825;3 620;27,4;263;6,0;27,9;63;148;;
1.18;Август 2025;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;11 565;248;211,0;26,7;3396,7;3 464;3 319;27,2;97;3,8;28,7;59;128;;
1.19;Август 2025;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;2 665;145;51,7;38,1;786,3;846;774;29,5;91;2,4;29,0;54;107;;
1.20;Август 2025;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;10 026;223;191,8;25,5;2706,2;2 949;2 712;25,7;75;3,0;27,1;58;146;;
1.21;Август 2025;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;;260;197,6;57,6;3281,4;3 210;3 115;;258;4,5;;;148;;
1.22;Август 2025;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;13 108;264;225,0;33,7;4253,5;4 180;4 287;31,9;60;1,8;32,7;61;146;;
1.1;Сентябрь 2025;DAF К639ХВ777 ООО КР ГРУПП;к639хв777;15 227;301;239,9;53,5;4227,2;4 317;4 052;28,4;88;1,7;26,6;177;146;;
1.2;Сентябрь 2025;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;13 379;271;224,1;42,3;4137,1;3 969;3 715;27,2;67;1,6;27,8;64;148;;
1.3;Сентябрь 2025;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;6 806;453;112,8;14,3;2342,7;2 176;1 617;32,0;60;4,1;23,8;62;148;;
1.4;Сентябрь 2025;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;5 619;146;100,4;21,6;1923,9;1 702;1 184;30,3;32;1,5;21,1;2576;146;;
1.5;Сентябрь 2025;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;8 382;213;188,9;17,8;4202,9;4 090;2 244;26,5;64;3,6;26,8;67;143;;
1.6;Сентябрь 2025;FAW О645КА977 ООО КР ГРУПП;О645КА977;12 702;257;217,7;39,4;3332,1;3 305;3 207;26,0;123;3,1;25,2;17;115;;
1.7;Сентябрь 2025;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);5 120;132;113,4;16,9;1744,5;1 810;1 709;34,0;99;6,1;33,4;42;146;;
1.8;Сентябрь 2025;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;14 491;4 175;3582,5;441,8;3961,4;4 225;3 945;29,2;45;1,8;27,2;472;144;;
1.9;Сентябрь 2025;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;11 180;303;210,2;82,4;3957,3;3 869;3 348;34,6;102;1,3;29,9;57;148;;
1.10;Сентябрь 2025;MAN М065МН777 ООО КР ГРУПП;М065МН777;12 968;255;225,2;22,1;3633,3;3 909;3 747;27,2;147;6,8;28,9;61;148;;
1.11;Сентябрь 2025;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;4 226;182;115,0;49,9;1468,8;1 597;1 149;37,8;119;2,4;27,2;39;119;;
1.12;Сентябрь 2025;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;1 593;170;152,4;15,5;2685,3;2 875;2 618;31,1;45;2,9;42,8;42;148;;
1.13;Сентябрь 2025;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;17 475;315;222,5;79,4;4275,8;3 985;3 527;22,8;160;2,0;19,9;88;144;;
1.14;Сентябрь 2025;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;12 313;248;214,2;25,3;3508,8;3 376;3 279;27,4;39;1,5;26,6;61;148;;
1.15;Сентябрь 2025;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;55;5;1,8;1,0;;34;10;42,5;14;15,8;18,3;30;96;;
1.16;Сентябрь 2025;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;7 021;308;230,1;76,7;1665,2;1 447;1 201;20,6;196;2,6;17,1;31;148;;
1.17;Сентябрь 2025;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;14 355;308;242,6;45,6;4419,6;4 547;3 471;31,7;189;4,7;24,2;531;143;;
1.18;Сентябрь 2025;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;8 938;156;138,3;8,6;2826,8;2 732;2 361;30,6;124;15,0;26,4;109751;148;;
1.19;Сентябрь 2025;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;8 655;216;154,2;51,1;2637,2;2 629;2 293;30,4;259;5,2;14,2;111;148;;
1.20;Сентябрь 2025;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;12 553;237;199,6;29,6;3925,1;3 730;3 472;29,7;206;7,0;27,7;570;148;;
1.21;Сентябрь 2025;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;3 683;136;123,1;7,9;1045,3;1 142;1 079;15,2;27;3,5;29,3;52;124;;
1.22;Сентябрь 2025;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;15 506;127;105,8;11,5;3091,2;2 804;1 785;18,1;68;6,1;11,5;162;139;;
1.23;Сентябрь 2025;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;13 480;295;230,0;46,1;3963,0;3 855;3 593;28,6;219;4,8;26,7;61;148;;
1.24;Сентябрь 2025;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;17 856;242;213,8;19,5;4681,2;4 643;4 455;26,0;48;2,6;22,2;101;148;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
